sep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HB2;jimmorrill;2016-05-04 15:46;74;43;"US DOJ says HB2 puts NC in violation of Civil Rights Act. That could cost millions in Title 9 funds. http://www. charlotteobserver.com/news/politics- government/article75601912.html #NCPOL @CharObs";;@CharObs;#NCPOL;"727947508358467584";https://twitter.com/jimmorrill/status/727947508358467584
HB2;Bey_Legion;2016-05-04 15:03;512;901;"Beyonc wearing 'Y'all Means All' shirt in support of @equalitync . #HB2 #Equality pic.twitter.com/hzxoyXFh0J";;@equalitync;#HB2 #Equality;"727936782340370437";https://twitter.com/Bey_Legion/status/727936782340370437
HB2;ira;2016-05-04 12:34;23;31;"IF ONLY BEY CARED ABOUT THE LGBT COMMUNITY, AM I RIGHT? Beyonc, citing HB2 , urges support for equality http://www. charlotteobserver.com/news/local/art icle75551222.html ";;;;"727899275808530432";https://twitter.com/ira/status/727899275808530432
HB2;ChadHGriffin;2016-05-04 11:26;49;87;". @PatMcCroryNC is LAUGHING about the economic catastrophe he caused in the state he was elected to lead. http://www. newsobserver.com/opinion/editor ials/article75430977.html ";;@PatMcCroryNC;;"727882021666721792";https://twitter.com/ChadHGriffin/status/727882021666721792
HB2;ACLU;2016-05-04 11:10;20;18;"How North Carolinas #HB2 hurts my transgender son http://www. newsweek.com/how-bathroom-b ill-hurts-transgender-son-455120 @newsweek";;@newsweek;#HB2;"727877971835424771";https://twitter.com/ACLU/status/727877971835424771
HB2;ChadHGriffin;2016-05-04 09:57;27;21;"Baffling: @PatMcCroryNC admits #HB2 is costing NC's economy & may cost him the election, but still does nothing. http://www. towleroad.com/2016/05/nc-gov -pat-mccrory-goes-tirade-hrc-paypal-bruce-springsteen-trans-rights-listen/ ";;@PatMcCroryNC;#HB2;"727859580085112832";https://twitter.com/ChadHGriffin/status/727859580085112832
HB2;HRC;2016-05-04 09:47;68;98;"We finally agree with @PatMcCroryNC on something! N.C. gov. admits #HB2 could cost him his reelection. #RepealHB2 http://www. newsobserver.com/news/politics- government/politics-columns-blogs/under-the-dome/article75404092.html ";;@PatMcCroryNC;#HB2 #RepealHB2;"727857281631703040";https://twitter.com/HRC/status/727857281631703040
HB2;Montel_Williams;2016-05-04 09:44;30;46;"Lyin' Pat can't help himself!!! Every time he opens his mouth about #HB2 he's lyin' pic.twitter.com/ydMw2SMDBU";;;#HB2;"727856466380640256";https://twitter.com/Montel_Williams/status/727856466380640256
HB2;equalitync;2016-05-04 00:30;74;86;". @Beyonce just slayed #HB2 . Are you listening, #ncga ? #Beygood #WeAreNotThis #RepealHB2 http://www. beyonce.com/equality-nc-fo rmation-world-tour-north-carolina/ pic.twitter.com/d31YSfL5Tq";;@Beyonce;#HB2 #ncga #Beygood #WeAreNotThis #RepealHB2;"727717017332154370";https://twitter.com/equalitync/status/727717017332154370
HB2;HRC;2016-05-03 20:47;113;89;". @RealDonaldTrump opposes #NorthCarolina 's HB2 in theory, but would let it continue in practice. #IndianaPrimary http://www. hrc.org/blog/four-ways -donald-trump-would-roll-back-lgbt-equality-as-president ";;@RealDonaldTrump;#NorthCarolina #IndianaPrimary;"727660775083409408";https://twitter.com/HRC/status/727660775083409408
HB2;JimDeMint;2016-05-03 15:54;58;65;"Wrong. #HB2 protects privacy and safety while allowing reasonable accommodations for transgender students. https:// twitter.com/DailySignal/st atus/727586633529221121 ";;;#HB2;"727587161084727297";https://twitter.com/JimDeMint/status/727587161084727297
HB2;DCHomos;2016-05-02 16:39;15;17;"LGBT group @freedom4allusa launches ad dismantling North Carolina's heinous HB2 law http:// m.dailykos.com/story/2016/05/ 02/1522325/-Pro-LGBT-group-launches-ad-dismantling-North-Carolina-s-heinous-HB2-law?utm_source=feedburner https:// amp.twimg.com/v/6d6799ef-cec 7-4d73-b0a6-d2e655be30dd ";;@freedom4allusa;;"727235973633822720";https://twitter.com/DCHomos/status/727235973633822720
